1. Li'SE'Li after 0.5 mAh plating GEIS,,
,,
Frequency,Zreal,-Zim
Hz,Ohm,Ohm
1000000,6.55,-1.17
955000,6.57,-1.1
912000,6.56,-1.05
871000,6.57,-0.986
832000,6.58,-0.946
794000,6.59,-0.899
759000,6.58,-0.842
724000,6.59,-0.795
692000,6.6,-0.764
661000,6.6,-0.728
631000,6.61,-0.688
603000,6.62,-0.647
575000,6.63,-0.62
550000,6.63,-0.589
525000,6.63,-0.56
501000,6.64,-0.53
479000,6.64,-0.499
457000,6.65,-0.474
437000,6.65,-0.452
417000,6.66,-0.426
398000,6.66,-0.404
380000,6.66,-0.387
363000,6.66,-0.36
347000,6.67,-0.344
331000,6.67,-0.326
316000,6.68,-0.309
302000,6.68,-0.293
288000,6.68,-0.276
275000,6.68,-0.262
263000,6.69,-0.247
251000,6.69,-0.228
240000,6.69,-0.217
229000,6.7,-0.206
219000,6.7,-0.194
209000,6.7,-0.183
200000,6.71,-0.173
191000,6.71,-0.164
182000,6.71,-0.151
174000,6.71,-0.144
166000,6.71,-0.135
158000,6.72,-0.126
151000,6.72,-0.117
145000,6.72,-0.11
138000,6.74,-0.116
132000,6.74,-0.104
126000,6.73,-0.0863
120000,6.73,-0.0768
115000,6.74,-0.0775
110000,6.74,-0.0749
105000,6.75,-0.069
100000,6.74,-0.0555
95500,6.74,-0.0474
91200,6.74,-0.0497
87100,6.75,-0.0481
83200,6.74,-0.0296
79400,6.75,-0.0303
75900,6.76,-0.0311
72400,6.76,-0.0254
69200,6.76,-0.0247
66100,6.76,-0.0208
63100,6.76,-0.00324
60300,6.76,-0.0148
57500,6.77,-0.00847
55000,6.76,-0.00586
52500,6.78,-0.00512
50100,6.77,0.00152
47900,6.78,-0.0014
45700,6.78,0.00159
43700,6.78,0.012
41700,6.79,0.00605
39800,6.78,0.0159
38000,6.78,0.00724
36300,6.79,0.0163
34700,6.79,0.0187
33100,6.79,0.0203
31600,6.79,0.0201
30200,6.8,0.0238
28800,6.8,0.0232
27500,6.8,0.0251
26300,6.8,0.0261
25100,6.81,0.0315
24000,6.81,0.0304
22900,6.81,0.0326
21900,6.81,0.0351
20900,6.81,0.0349
20000,6.82,0.0369
19100,6.82,0.0374
18200,6.82,0.0387
17400,6.82,0.0396
16600,6.83,0.0421
15800,6.83,0.0409
15100,6.83,0.0443
14500,6.83,0.0443
13800,6.83,0.0462
13200,6.84,0.0459
12600,6.84,0.0467
12000,6.88,0.088
11500,6.84,0.0573
11000,6.93,-0.364
10500,6.78,0.101
10000,6.89,-0.0435
9550,6.84,0.239
9120,6.76,0.0182
8710,6.94,-0.175
8320,6.79,0.0056
7940,6.84,0.0769
7590,6.92,0.0313
7240,6.95,0.0335
6920,6.9,0.103
6610,6.87,-0.0147
6310,6.86,0.117
6030,6.82,0.0104
5750,6.86,0.0685
5500,6.91,0.0349
5250,6.88,0.0717
5010,6.88,0.132
4790,6.89,0.0286
4570,6.9,0.0395
4370,6.86,0.127
4170,6.9,0.0407
3980,6.89,0.0169
3800,6.91,0.088
3630,6.88,0.0516
3470,6.9,0.0933
3310,6.88,0.0715
3160,6.86,0.0658
3020,6.88,0.0841
2880,6.89,0.0648
2750,6.89,0.0725
2630,6.9,0.0729
2510,6.9,0.0885
2400,6.88,0.0726
2290,6.92,0.0947
2190,6.91,0.078
2090,6.9,0.0794
2000,6.91,0.0843
1910,6.92,0.085
1820,6.92,0.0904
1740,6.92,0.0864
1660,6.93,0.0886
1580,6.92,0.0904
1510,6.93,0.0933
1450,6.93,0.0945
1380,6.94,0.0947
1320,6.94,0.0951
1260,6.94,0.0962
1200,6.94,0.0999
1150,6.95,0.1
1100,6.95,0.102
1050,6.95,0.102
1000,6.95,0.106
955,6.96,0.105
912,6.96,0.109
871,6.96,0.11
832,6.97,0.109
794,6.97,0.112
759,6.97,0.114
724,6.98,0.117
692,6.98,0.118
661,6.98,0.119
631,6.99,0.121
603,6.99,0.123
575,6.99,0.13
550,7,0.125
525,7,0.128
501,7.01,0.13
479,7.01,0.132
457,7.01,0.134
437,7.02,0.137
417,7.02,0.139
398,7.02,0.141
380,7.03,0.142
363,7.03,0.144
347,7.04,0.148
331,7.04,0.149
316,7.05,0.152
302,7.05,0.153
288,7.05,0.155
275,7.06,0.157
263,7.06,0.161
251,7.07,0.164
240,7.07,0.164
229,7.08,0.168
219,7.08,0.17
209,7.09,0.175
200,7.09,0.177
191,7.09,0.18
182,7.1,0.182
174,7.1,0.183
166,7.11,0.186
158,7.12,0.191
151,7.12,0.195
145,7.12,0.198
138,7.13,0.2
132,7.13,0.206
126,7.14,0.206
120,7.15,0.21
115,7.15,0.212
110,7.16,0.217
105,7.17,0.221
100,7.17,0.225
95.5,7.18,0.229
91.2,7.18,0.228
87.1,7.19,0.234
83.2,7.19,0.24
79.4,7.2,0.244
75.9,7.21,0.247
72.4,7.21,0.252
69.2,7.22,0.255
66.1,7.23,0.261
63.1,7.24,0.267
60.3,7.24,0.265
57.5,7.25,0.277
55,7.26,0.281
52.5,7.26,0.282
50.1,7.27,0.291
47.9,7.28,0.3
45.7,7.29,0.306
43.7,7.29,0.313
41.7,7.31,0.318
39.8,7.31,0.321
38,7.32,0.326
36.3,7.33,0.333
34.7,7.34,0.338
33.1,7.35,0.343
31.6,7.35,0.352
30.2,7.36,0.361
28.8,7.37,0.363
27.5,7.38,0.372
26.3,7.4,0.375
25.1,7.41,0.383
24,7.41,0.39
22.9,7.42,0.395
21.9,7.43,0.406
20.9,7.45,0.414
20,7.45,0.42
19.1,7.47,0.428
18.2,7.48,0.437
17.4,7.49,0.445
16.6,7.5,0.452
15.8,7.51,0.457
15.1,7.52,0.468
14.5,7.53,0.478
13.8,7.54,0.487
13.2,7.55,0.492
12.6,7.57,0.504
12,7.58,0.512
11.5,7.59,0.523
11,7.61,0.534
10.5,7.62,0.545
10,7.64,0.554
9.55,7.65,0.565
9.12,7.66,0.577
8.71,7.69,0.588
8.32,7.7,0.6
7.94,7.71,0.607
7.59,7.73,0.619
7.24,7.75,0.632
6.92,7.77,0.647
6.61,7.78,0.658
6.31,7.81,0.678
6.03,7.82,0.68
5.75,7.84,0.694
5.5,7.86,0.707
5.25,7.88,0.719
5.01,7.9,0.736
4.79,7.92,0.745
4.57,7.94,0.762
4.37,7.96,0.779
4.17,7.99,0.797
3.98,8.01,0.801
3.8,8.03,0.824
3.63,8.05,0.833
3.47,8.08,0.845
3.31,8.11,0.856
3.16,8.13,0.873
3.02,8.15,0.895
2.88,8.18,0.906
2.75,8.21,0.921
2.63,8.22,0.931
2.51,8.25,0.957
2.4,8.28,0.968
2.29,8.31,0.987
2.19,8.34,0.993
2.09,8.37,1.02
2,8.4,1.03
1.91,8.45,1.05
1.82,8.49,1.05
1.74,8.51,1.08
1.66,8.53,1.1
1.58,8.56,1.11
1.51,8.61,1.13
1.45,8.65,1.14
1.38,8.69,1.17
1.32,8.73,1.17
1.26,8.73,1.18
1.2,8.79,1.19
1.15,8.84,1.23
1.1,8.86,1.23
1.05,8.93,1.23
1,8.95,1.26
0.955,8.99,1.25
0.912,9.02,1.27
0.871,9.07,1.28
0.832,9.09,1.3
0.794,9.19,1.29
0.759,9.2,1.29
0.724,9.23,1.31
0.692,9.27,1.31
0.661,9.35,1.32
0.631,9.35,1.32
0.603,9.39,1.31
0.575,9.47,1.34
0.55,9.53,1.33
0.525,9.57,1.34
0.501,9.61,1.31
0.479,9.64,1.33
0.457,9.64,1.32
0.437,9.72,1.31
0.417,9.77,1.31
0.398,9.79,1.31
0.38,9.86,1.29
0.363,9.87,1.29
0.347,9.92,1.27
0.331,9.97,1.28
0.316,10.1,1.28
0.302,10.1,1.21
0.288,10.2,1.22
0.275,10.2,1.2
0.263,10.2,1.23
0.251,10.2,1.22
0.24,10.3,1.19
0.229,10.3,1.19
0.219,10.4,1.15
0.209,10.3,1.11
0.2,10.3,1.13
0.191,10.4,1.1
0.182,10.4,1.08
0.174,10.5,1.1
0.166,10.5,1.06
0.158,10.6,0.993
0.151,10.6,0.945
0.145,10.6,0.942
0.138,10.6,0.975
0.132,10.7,0.952
0.126,10.7,0.917
0.12,10.7,0.927
0.115,10.8,0.895
0.11,10.7,0.89
0.105,10.8,0.877
0.1,10.9,0.83
0.0955,10.8,0.825
0.0912,10.9,0.791
0.0871,10.9,0.77
0.0832,11,0.731
0.0794,11,0.727
0.0759,11,0.724
0.0724,11,0.69
0.0692,11,0.674
0.0661,11.1,0.662
0.0631,11.1,0.631
0.0603,11.1,0.639
0.0575,11.1,0.57
0.055,11,0.619
0.0525,11.1,0.608
0.0501,11.1,0.589
0.0479,11.1,0.533
0.0457,11.1,0.548
0.0437,11.2,0.521
0.0417,11.2,0.517
0.0398,11.2,0.455
0.038,11.2,0.438
0.0363,11.2,0.47
0.0347,11.1,0.467
0.0331,11.2,0.455
0.0316,11.2,0.444
0.0302,11.2,0.396
0.0288,11.2,0.375
0.0275,11.2,0.464
0.0263,11.3,0.399
0.0251,11.2,0.376
0.024,11.2,0.347
0.0229,11.3,0.362
0.0219,11.3,0.316
0.0209,11.3,0.336
0.02,11.3,0.304
0.0191,11.3,0.301
0.0182,11.3,0.286
0.0174,11.3,0.317
0.0166,11.3,0.278
0.0158,11.4,0.286
0.0151,11.3,0.25
0.0145,11.4,0.254
0.0138,11.3,0.196
0.0132,11.4,0.238
0.0126,11.4,0.215
0.012,11.4,0.221
0.0115,11.4,0.192
0.011,11.4,0.232
0.0105,11.4,0.214
0.01,11.4,0.186
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
